gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas",1638,en,Politics/American Revolutionary War/United States Law,Public domain in the USA.,true
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",United States,1,en,Politics/American Revolutionary War/United States Law,Public domain in the USA.,true
3,John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald)",1666,en,,Public domain in the USA.,true
4,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham",3,en,US Civil War,Public domain in the USA.,true
5,The United States Constitution,United States,1,en,United States/Politics/American Revolutionary War/United States Law,Public domain in the USA.,true
6,Give Me Liberty or Give Me Death,"Henry, Patrick",4,en,American Revolutionary War,Public domain in the USA.,true
7,The Mayflower Compact,,,en,,Public domain in the USA.,true
8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham",3,en,US Civil War,Public domain in the USA.,true
9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham",3,en,US Civil War,Public domain in the USA.,true
10,The King James Version of the Bible,,,en,Banned Books List from the American Library Association,Public domain in the USA.,true
11,Alice's Adventures in Wonderland,"Carroll, Lewis",7,en,Children's Literature,Public domain in the USA.,true
12,Through the Looking-Glass,"Carroll, Lewis",7,en,Best Books Ever Listings/Children's Literature,Public domain in the USA.,true
13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis",7,en,Children's Literature,Public domain in the USA.,true
14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks,Public domain in the USA.,true
15,"Moby-Dick; or, The Whale","Melville, Herman",9,en,Best Books Ever Listings/Adventure,Public domain in the USA.,true
16,Peter Pan,"Barrie, J. M. (James Matthew)",10,en,Children's Literature/Movie Books,Public domain in the USA.,true
17,"The Book of Mormon
An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi",Church of Jesus Christ of Latter-day Saints,11,en,Christianity/Latter Day Saints,Public domain in the USA.,true
17,"The Book of Mormon
An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi","Smith, Joseph, Jr.",12,en,Christianity/Latter Day Saints,Public domain in the USA.,true
18,The Federalist Papers,"Hamilton, Alexander",13,en,Politics,Public domain in the USA.,true
18,The Federalist Papers,"Madison, James",14,en,Politics,Public domain in the USA.,true
18,The Federalist Papers,"Jay, John",15,en,Politics,Public domain in the USA.,true
19,The Song of Hiawatha,"Longfellow, Henry Wadsworth",16,en,Children's Literature/Poetry/Native America,Public domain in the USA.,true
20,Paradise Lost,"Milton, John",17,en,Poetry/Banned Books from Anne Haight's list,Public domain in the USA.,true
21,"Aesop's Fables
Translated by George Fyler Townsend",Aesop,18,en,,Public domain in the USA.,true
22,Roget's Thesaurus,"Roget, Peter Mark",20,en,Reference,Public domain in the USA.,true
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",34510,en,African American Writers/Slavery,Public domain in the USA.,true
24,O Pioneers!,"Cather, Willa",22,en,,Public domain in the USA.,true
25,The 1991 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks,Public domain in the USA.,true
26,Paradise Lost,"Milton, John",17,en,,Public domain in the USA.,true
27,Far from the Madding Crowd,"Hardy, Thomas",23,en,,Public domain in the USA.,true
28,"The Fables of Aesop
Selected, Told Anew, and Their History Traced",Aesop,18,en,Harvard Classics,Public domain in the USA.,true
29,The 1990 United States Census,United States. Bureau of the Census,25,en,,Public domain in the USA.,true
30,"The Bible, King James Version, Complete",,,en,,Public domain in the USA.,true
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,26,en,Plays/Best Books Ever Listings/Harvard Classics,Public domain in the USA.,true
32,Herland,"Gilman, Charlotte Perkins",27,en,Best Books Ever Listings,Public domain in the USA.,true
33,The Scarlet Letter,"Hawthorne, Nathaniel",28,en,Harvard Classics/Movie Books,Public domain in the USA.,true
34,Zen and the Art of the Internet,"Kehoe, Brendan P.",29,en,,Copyrighted. Read the copyright notice inside this book for details.,true
35,The Time Machine,"Wells, H. G. (Herbert George)",30,en,Movie Books/Science Fiction,Public domain in the USA.,true
36,The War of the Worlds,"Wells, H. G. (Herbert George)",30,en,Movie Books/Science Fiction,Public domain in the USA.,true
37,The 1990 United States Census [2nd],United States. Bureau of the Census,25,en,,Public domain in the USA.,true
38,"The Jargon File, Version 2.9.10, 01 Jul 1992",,,en,,Public domain in the USA.,true
39,Hitchhiker's Guide to the Internet,"Krol, Ed",32,en,,Copyrighted. Read the copyright notice inside this book for details.,true
40,NorthWestNet User Services Internet Resource Guide (NUSIRG),"Kochmer, Jonathan",33,en,,Copyrighted. Read the copyright notice inside this book for details.,true
41,The Legend of Sleepy Hollow,"Irving, Washington",34,en,Children's Literature/Harvard Classics,Public domain in the USA.,true
42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",35,en,Precursors of Science Fiction/Horror/Gothic Fiction/Movie Books,Public domain in the USA.,true
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",35,en,Precursors of Science Fiction/Horror/Movie Books,Public domain in the USA.,true
44,The Song of the Lark,"Cather, Willa",22,en,Opera,Public domain in the USA.,true
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",36,en,Children's Literature/Canada,Public domain in the USA.,true
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",37,en,Children's Literature/Christmas,Public domain in the USA.,true
47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",36,en,Children's Literature/Canada,Public domain in the USA.,true
48,The 1992 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks,Public domain in the USA.,true
49,"Surfing the Internet: An Introduction
Version 2.0.2","Polly, Jean Armour",38,en,,Copyrighted. Read the copyright notice inside this book for details.,true
50,Pi,"Hemphill, Scott",39,en,Mathematics,Public domain in the USA.,true
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud)",36,en,Children's Literature/Canada,Public domain in the USA.,true
